C

CASTELLANO              QUECHUA                 AYMARA
Cortar                  Khuchuna                Khariña

Coser                   Sirana                  Chucuña

Cosido                  Siiraskka               Chucuta

Cosquillas              Khullachicuna           Khachillayasiña

Costilla                Wuajgta                 Jharaphi

Crecer                  Wiñana                  Jhilaña

Crecido                 Wiñaskga                Jhiltjata

Creer                   Chikkawasña             Yasña

Criar                   Uywana                  Uywaña

Criatura                Wawa                    Wawa

Crudo                   Chawa                   Katu katu

Cruel                   Sajgra                  Haucha

Cualquiera              Pillapis                Khitisiña

Cuando                  Jhaikajg                Cunapacha

Cuanto                  Maskata                 Kaukja

Cuchara                 Uislla                  Uislla

Cuello                  Cunca                   Cunca

Cuerno                  Wuajgra                 Wuajgra

Cuero                   Kkara                   Lippichi

Cuerpo                  Hanchi                  Hanchi

Culebra                 Asiru                   Asiru

Culo                    Siki                    China

Culpa                   Jhucha                  Jhucha

Culpable                Jhuchayujg              Juchani

Cumbre                  Apachita                Apachita

Curador                 Jampicuj                Kkullasiri

Curar                   Jampina                 Kkullaña
