achuni ullu,"penis of achuni, used in popular medicine as aphrodisiac"
achupalla,achupaya
achupalla,scales
achuqalla,"pouch (long and narrow, fringed, very decorated)"
achuqalla,weasel
achuqcha,kind of pumpkin
achura,quote
achuray,to deal out
achuy,to carry between the teeth
achuy,to uproot plants
achwatakuy,to roll over and over (oneself)
achhiq ñiy,to sneeze
achhiy,sneeze
achhiy,to sneeze
achhumuy,to approach (in the speaker's direction)
achhuray,to withdraw
achhuy,to approach
achhuykuy,to approach
achhuyuy,to approach
adisir,in any case
Adiyús,Good bye!
admirasqa kay,to be amazed
adrí,deliberately
adubi,a brick baked in the sun
afanakuy,to torment oneself
afaniru,haughty
afaniswan,concerned
afilay,to sharpen
aflihiy,to grieve
agradisiy,to thank
agustu,August
aha,difficult
Ahá!,I see!
ahachiy,to infect a wound
Ahahay!,How funny!
ahahay,ah ah - to laugh -
ahalla,very fast
ahallay,to hurry
ahan,I see
ahasqa,infected
ahay,to be infected
ahay,to berate
ahayachiy,to tire
ahayay,to feel tired of something
ahi!,"[challenge, joy, verry common among drunkards]"
ahina,thus
ahina,example
ahinhu,wormwood
ahitay,to stop up (stomach)
ahiy,"to shout ""Aahi!"""
ahumpay,to shrink by cold or pain
ahus,garlic
ahus chiru,kind of medicinal plant of the jungle
ahus p'anqa,"garlic vine; kind of medicinal plant of the Ecuadorian jungle, a climbing plant with strong garlic smell, its leaves and bark are used as medicine against rheumatism and arthritis"
ahus qiru, ahus k'aspi
ahus sach'a,garlic tree
ahus waska,"garlic vine; kind of medicinal plant of the Ecuadorian jungle, a climbing plant with strong garlic smell, its leaves and bark are used as medicine against rheumatism and arthritis"
ahuy,to mix
ahwilay,to sharpen
aka,excrements
akachakuy,to be hot (heat)
akachaq,hot
akacháw,ouch!
akachay,heat
akachay,to burn
aka hina sinqayuq,shit-nosed
Akakalláw!,"What a pity!; What a pain!; Oh, poor boy!"
Akakaw!,Ouch!
akakaw!,[women's uncontrolled laughter]
akakllu,woodpecker
akakuy,to shit in
aka k'ichki,constipation
aka k'uchu,excrement corner
akanawasi,toilet
akanayaq runa,grumblehuts
akankaw,black caracara
akapa,tiny
akapakuy,to get mouldy
akapana,hurricane
akapana,clouds
akaraqay,corral
akarqana,peritoneum
aka siki,shitter
akasu,possibly
akatanqa,dung-beetle
akatay,to inquire at
akatuwawa,kind of medicinal plant of the jungle
aka wara,nappy
akay,excretion
akay,to excrete
akayta mikuy supiyta pitay,eat my shit and smoke my fart!
aki,god mother (referring to a man)
akila,fast
akilla,metal beaker
aklla,virgin selected for religious service in Inka times
akllachiy,to make choose
akllakuy,to choose
akllamuy,to go to choose
akllanakuy,elections
akllapayay,to choose repeatedly
akllapuy,to choose for someone
akllasqa,selected
akllasqa chani,statistic value
aklla wasi,virgins' convent
akllay,election
akllay,to select
akllay papa,selected potato
akllaypaq,elegible
akllu,stutterer
akllu,deaf-mute
aklluy,to stammer
aklluy,to deafen
akna,action
aknachay,to effect
aknu,ceremonial dress
aknupu ñañaka,precious women's dress
akñichiy,to make a child burp after nursing
akñiy,to burp
aksay,bad
aksu,"skirt; dress; smock; cape; cloak; woven cloth worn on back by Indian women; overskirt; skirt woven in two equal pieces; women's black wrap skirt or overdress; square piece worn by women, fastened at waist, which serves as a petticoat"
aksullichiy,to dress someone
aksullikuy,to dress oneself
akshu,potato
aktiy,to extract
akukutinchiq,multiple of gram
akulli,portion of coca to chew
akulliy,to chew coca
akulliy hura,about 10:00 am
akumpañay,to accompany
akuna,private
akupana,sunset
akurma,"horsetail (medical plant with thin, green, hard stalks used for healing internal and external inflammations)"
akuy,to grow coca
akuy,to put something in the mouth
akwa,needle
akwa-akwa,red-stemmed filaree
akwa hiringa,syringe
akyay,interest
ala,wing
Alabadu,Alabado (christian chant sung when the corpse is taken out of the house)
alabaduq,prayer (person)
alabaduy,to sing the Alabado
alabakuq,boastful
alabay,to praise
ala khuyay khuyaylla,unlucky fellow
alalachiy,to cool down
alalaq,cold
alalaqrusqa,cooled
alalasqa,cold
Alalaw!,How cold!
Alalaw!,What a heat!
alalay,sorrow
alalay,cold (illness)
alalay,to be cold
alalay,to cool
Alama,"Quechua-speaking ethnic group in the region of the rivers Pastaza and Tigre (department of Loreto/Peru, and neighbouring Ecuador); (Span.) Quechuas del Pastaza y Tigre"
alamu,poplar
alapay,to tie
alariy,to appear
alasan,yellowish
alaski,intestine
alasta quy,to allow
alaw!,what terribly pain!
alawniy,to hurt terribly
alaw ñiy,to complain
alay,heat
alay,cold
alay,to be hot
alay,to be cold
alaymuska,"hard, green or blue stone used as grind stone"
alayri,agile
alayri,like air
alchay,to harvest corn or beans cutting the stalk
algudun,cotton
alhibra,algebra
alhibrap,algebraic
alhiwra,algebra
ali,plant
aligri,happy
aligriyay,to be happy
aliman,German
alimintu,food
alimiski,the bird's tail
alistakuy,to prepare oneself
alistay,to prepare
alkaldi,mayor
alkatakuy,to raise the skirt
alkay,to wait
alki,furrow
alkilay,to rent
alkul,alcohol
alkula,alcohol
alkuy,to heap maize
alma,spirit
alma pampana,family grave
almasay,to make a hotbed
almilla,dress worn by Indian women
almusa,lunch
almusay,to have lunch
almut,"arroba (measurement of weight, about 25 pounds or 11.5 kg)"
alpargatis,traditional sandals
alpurha,victuals
alqa,white and black
alqa,error
alqa,white of the eye
alqa,cold place
alqa-alqa,mottled
alqamari,kind of falcon
Alqamayu,river that springs from Machu Pikchu
alqay,to stop
alsa,food that receives anyone who collaborates within a celebration
alsakay,to escape
alsakuy,revolution
alsakuy,to rise
alsakuy,to get food in return for helping in a celebration
alsay,to raise
altay,to remove
altu,high
altu,height
Altu Mayu,beatiful and rich valley in the North of the department of San Martín (Perú) including the provinces of Rioja and Moyobamba
altumisayuq,high shamane
altupiña ch'aska,star in the zenith
altus,second floor of a house
alud,landslide
aluhakuy,to lodge (with someone)
alukay,to lodge
aluminiyu,aluminium
alumnu,pupil
alunsillu,medical plant used against internal irritations
alunsu,alonso (plant whose root heals inflammation and bleeding stomach ulcer)
alwa,alfalfa
alwiris,person who is responsable for a celebration
alwun,album
alwuritmu,algorithm
allá,there
allachikuy,to make oneself dig
allachiy,to make dig
allachu,hoe
allakuq,hoe
allakuy,to cut oneself with a hog
allallanka,lizard
allampasu,kind of medicinal plant of the Ecuadorian jungle
allamuy,to go to dig
allana,hoe
Allana,Hoe (constellation)
allankachiy,to lay on the back
allankaray,to laze
allankay,to lie down on the back
allapa,many
allapa,much
allapa,very
allapay,to exaggerate any action
allapuy,to dig for someone
allaq,tomorrow
allaq,"early morning, pre-breakfast work period, used especially during the broad bean harvest in May"
allaq,digger
allarpachiy!,make him dig!
allarpariy,to dig at once
allasqa,dug up
allatin,common
allaw!,poor boy!
allawchi!,poor boy!
allawqa,right
allawqa,right side
allawsu,mashua
allay,harvest of tuber plants
allay,to dig up
allay killa,April
allaysiy,to help to dig
allchay,to arrange
allchhi,grandson
allichakuchiy,to heal
allichakuy,to prepare oneself
allichakuy,to recover
allichay,to prepare
allichiy,to correct
allichu,please
allichu?,Is it OK?
allikachina wasi (ukhu),warehouse
allikachiy,to prefer
alli kawsayta chariy,to assume a good lifestyle
allikay,noble
allikay,dignity
allikayaku,discipline
alliku,peace
allikuta ñiy,to be right
alli law,right-spun
allillachu kanchik?,are we fine?
allillachu kanki?,are you fine?
allillakay,health
allillamanta,slow
Allillanchu?,"how are you? (sir, lady)"
Allillanmi!, Allillantaqmi!
allilli,benefit
allilliq,useful
allin,good
allin,sensible
allin,healthy
allin,well
allin,the better
allin-allin,carefully
allin allinlla,well
allin allpa,fertile land
allinchasqa,arranged
allinchay,to arrange
allin chayamusqa uyansa,Welcome!
allinchiq churay,to put into order
allinchiy,to correct
Allin ch'isi!,Good evening!
allin ch'itikay,vivacity
allin hampiy ruraykuna,public health administration
Allin hamusqa kapay!,Welcome!
Allin hamusqa kapaychik!,Welcome! (plural)
allin ima,good person
allin kana,kindness
allin kasqan,quality
allin kasqanta qhawaq,quality control
allin kawsay,well-being
allin kawsay hayñi,right of health
allin kawsay kawpay,health policy
allin kawsay tarikuq wasi,institute for social security
allin kay,health
allinlla,just well
Allinlla Musuq Wata!,Happy New Year!
allinllanta,slowly
allinlla ñan,Good journey!
Allinlla Raymi!,Merry Christmas!
allinllata ñiy,to be right
allin maki,right hand
allin mama,godmother
allinmanta,gently
allin maswa,cultivated mashua
allinmi,sufficient
allin mikhuy,nutrition
allinnin,profit
allinniy,interest
allinniyuq,wealthy
allin ñawi,handsome
allinpaq hap'iy,to approve of
allinpiraq,in the early afternoon
allin puriy,to behave
Allin p'unchaw!,Good morning!
allin qillqa,"calligraphy, penmanship"
allin qillqay,orthography
allinraq,still well
allin rikch'ay,to conduct oneself
allin rikch'ay,to look good
allin rikuy,considerateness
allin rikuy,to behave well
allin ruray,benefit
allin simita chariq,who speaks politely and without murmuring
Allin sukha!,Good afternoon!
allin sunqu,good-hearted
allin sunqu,conscience
allin sunquyuq,kind
allin supay,good angel
allinta,correctly
allintaqmi!,very well!
allinta ruray,to benefit
allin tayta,godfather
allin tiyay,well-being
allin tukuy,to recover
allin tupay,to make oneself better to get the thank
Allin tuta!,Good evening!
allin ukhupi kaq,interior
allin wasa,lucky
allin wasa tukuy,to be lucky
allin wawa mama,womb
allin yachay,to be sure
allinyachiy,to heal
allinyanakapuy,to make peace
allinyay,relief
allinyay,to recover
allinyay,to recover
allin yuthu,tao
allin yuyanata yachana,reasonable
allin yuyay,conscience
allin yuyayta chariq,intelligent
allin yuyayta hap'iy,to be clever
allin yuyaywan,intelligent
allip,true
allip,very
allipacha,very fine
allipanakuy,to reconcile
alli puchkana,right-spun
allipunakapuy,to agree
allipunakuy,to agree
allipunkapuy,to resolve
allipuy,to heal someone
alliq,right
alliq,in the morning
alliq,morning
alliq maki,right hand
alliqman,right
alliqyay,to dawn
alliran,better
alli ruk'isqa p'acha,"thick, closewoven cloth"
allish,better
allitupanakuy,to reconcile
alli wapa,kind of medicinal plant of the Ecuadorian jungle
alli wiynu,very well
alliy,care
alliyachachikuq,educative
alliyachachiq,educator
alliyachachiy,to educate
alliyachakuq,pupil
alliyay,come to terms
alliykachay,to revise
alliymanta,with care
alliyupay kayñiy,honour
allka ukucha,big thief
allmiy,to raise something stretched on the side
allpa,land
allpa amarun k'aspi,kind of medicinal plant of the Ecuadorian jungle
allpachakuy,to become dust
allpachasqa,dusty
allpachawpipacha muyuy,equator
allpachay,pulverization
allpachay,to turn to dust
allpachay,to dust
allpachinkari,erosion
allpa chukchuy,earthquake
allpachukchuy,earthquake
allpa illaq,landless
allpakamaq,geologist
allpakamasqa,geological
allpakamay,geology
allpa kamaykuna,agrarian laws
allpa kamay saywachi,political geography
allpa kawsay,environment
allpa kay,geographic events
allpa kutiq,rotation movement
allpa llamk'ay,agriculture
allpa mama,earth mother
allpamama ch'aska,planet Earth
allpamama kamay,geography
allpamamapi rikuchi,geographical location
allpamanta,of earth
allpamanta lluqsiq yaku,spring water
allpamanta yachaykuna,geography
allpampay,surface of the Earth
allpamuyuy,transverse movement
allpanpa,superficial
allpañan,gravel road
allpañutuchiy,to remove lumps of earth
allpa pacha,planet earth
allpa pacha,continent
allpapachapampa,surface of the Earth
allpapachapi tiyaq challwakuna,ichthyofauna
allpapachapi tiyaq chuqikuna,mineral resources
allpa pachapi tiyaqkuna,natural resources
allpapachapi tiyaq uywakuna,fauna
allpapachapi tiyaq yakukuna,water resources
allpapachapi tiyaq yurakuna,flora
allpa pachata muyuspa qatachiq Usunu,ozone layer
allpapi puquq yurakunata hampikuna,chemical fertilizers
allpapiruruy,rotation movement
allpapi wayuq,tubers
allpa phuyu,ground fog
allpaqa,alpaca
allpa qallu,pancreas
allpa qara,earth's crust
allpa qiwa,creeping plant
allpa q'usñi,dust-cloud
allparanti qillqa,writing
allparay,agriculture
allpa runa,iguana species
allpa samay,atmosphere
allpa samay pacha,time of fallow (August)
allpa samay suyuyasqa,air pollution
allpasapa,landlord
allpasuyu,map
allpasuyu kamay,cartography
allpata allaspa rurasqa uku,cellar
allpata ch'unqay,to suck the soil (remove the earth's nutrients - what plants do)
allpata wayrapi kachay,to expose soil to erosion
allpatiru,person who eats soil
allpa tupuq apu,land surveyor
allpa t'iwu,fine sand
allpa ukhu,underground
allpa ukhumanta hurquy,to dig up
allpa waklliyay,erosion
allpa wayrapi kachay,erosion (of soil)
allpa wira,petroleum
allpay,to throw earth
allpa yapuy pacha,time of beginning preparing the fields (September)
allpayay,to become earth
allpayay,to become earth
allpayuq,land owner
allpi,thick (liquid)
allpiyachiy,to thicken
allqa,brown
allqachiy,to interrupt
allqamari,raven
allqa quwikuna,brown guinea pigs
allqitu,small dog
allqitu,plover
allqu,dog
allqu aka,dog shit
allqu-allqu,ant-like insect with a colored back (yellow or red) that makes a crying noise and stings
allqu aycha,hard to cook (literal meaning)
allquchakuy,to lose control over oneself
allquchakuy,to treat without respect
allquchanakuy,to treat each other without respect
allquchay,to mock at
allquchay,to rape
allqu china,female dog
allqu isma,dog shit
allqu ispa,dog piss
allqukichka,dog thornbush
allqu kuru,dog worm
allqupa yantan,"plant with thin stalks and small, (when ripe) black, eatable fruits"
allqup yantan,plant with thin stalks and (when ripe) black eatable fruits
allqu p'anqa,kind of medicinal plant of the Ecuadorian jungle
allquqa aychata achun,the dog carries meat in its mouth
allqu qishyay,carbuncle
allqu sirwisyu,task of a five-year-old girl to prepare food for dogs
allquta yalliq qillapuniq,lazier than a dog
allqu trasa,you dog!
allqu tuna,a type of cactus like qhewillu
allqu thaqu,kind of thorny acacia tree
allqu unquy,rabies
allqu uya,ugly to make fear
allwakuy,to bark
allwi,pea
allwi,warp (weaving)
allwi kamayuq,litigant
allwi k'aspi,back beam
allwi masi,"warping partners, often a master weaver and protegee"
allwina,place to warp
allwina k'aspikuna,loom
allwina q'aytu,warp thread
allwina takarpu,warp beam
allwinayay,to be ready to warp (weaving)
allwirayay,to remain warped
allwirha,pea
allwirquy,to finish warping
allwisqa,warp
allwisqata aykaq illawa q'aytu,threads that open the tissue
allwitamuy,to keep warped
allwiy,subject
allwiy,to plot
allwiy,to warp (weaving)
allwiya,technique
allwiyakama,technology
allwiyakamaqpa,technological
allwiysiy,to help to warp (weaving)
ama,[Negation imperative]
ama,old ruin
ama allillamantachu!,not too slowly!
amachaq,protector
amachaqi anqil,guardian angel
amachay,protection
amachay,to defend
amachay,to establish
amach'a,argument
ama ch'ulla-ch'ulla kachunqa,so that it is not unequal
Ama hina!,Don't be that way!
ama hinachu qhawaq,please
ama hina kaspa,please
ama hina kaychu,please
ama hukniyuqta,until last
ama imaypas,never (prohibitive)
ama kirpa,earth capsules of certain worms
amaku,tick
Amaláy!, Amalaya!
Amalaya!,Very well!
ama llulla,honesty
"Ama llulla, ama qilla, ama suwa!","Don't ly, don't be lazy, don't steal!"
amamari,in no way (prohibitive)
amanqay,amancay
amansibasqa,living in concubinage
amaña,stop ...!
amañachiy,to make someone practice or exercise
amañakuy,to adapt
amañariy,adaptation
amañariy,to adapt
amañasqa,exercised successfully
amañay,to adapt oneself
amañay,to practice
amañay,to renounce
ama ñiy,to forbid
amapanki,amapanki (plant used for containment (chapana) of any damage by bathing ten tuesdays and fridays in water boiled with amapanki)
amapas,although not
ama pipas,nobody (prohibitive)
amapuni,by no means [imperative]
ama phiñakuspa!,don't be angry!
amaraq,do not ... yet [imperative]
Amaru,Snake (Andean constellation)
amaru,medical herb whose branches are similar to snakes
amaru,snake
Amarukancha,court of the snakes
Amaru Kuntur,Serpent changing to the condor: Scorpio (provenience: Chumbivilcas)
Amaru Mayu,Amazonas (river)
amarun uchu,kind of medicinal plant of the Ecuadorian jungle
amasanka,one of the main deities of the Lowland Kichwas
amasisa,kind of medicinal plant of the jungle
amatal,much
amataq,by no means [imperative]
ama tiklla tukuchunqa,so that it does not become dirty
amawta,skillful
amawta,teacher
amawtata napaykuni,greetings to the teacher
amay,to be accustomed
amaychura,cachexia
Ama ...-chu!,Don't ...!
amhay,to disgust
ami,disgust
Ami,"deity in the tales of Waruchiri, a tutelary wak'a of the Chiqa people"
amichikuy,to be bored
amichiy,to satisfy
amichiy,to annoy
amichu,egg with two yolks
amigu,friend
amikaqrusqa,satisfied
amikay,to bore
amikuy,to satisfy oneself
amikuy,to be tired of
aminta,insipid
amiq,cloying
amirquy,to tire
amisqa,satisfied
amisqa,disgusted
Amitunchik,our God
amiy,satisfaction
amiy,to satisfy oneself
amiy,to be fed up
amiy,to satisfy
amiy,to annoy
amkha,potato
amlla,tasteless
ampalaqwa,kind of snake
amparu,protection
amparuchay,to protect
ampay,to yawn
ampi,dark
ampi,night
ampi,cotton
ampi chuhan,cream-colored woodpecker
ampikay,to get dark
ampu,alcoholic
ampullu,grand-granddaughter
ampuy,to earth up
amsa,dark
amsa,darkness
amsalla,dark
amsay,to get dark
amsay,to hurry
amsayay,to darken
amu,dumb
amu,lord
amu,fertilizer
amu-amu,silent
amulay,to scold
amullay,to ruminate
amulliy,to keep in one's mouth
amuq,soft
amuq,sterile (man)
amuqa,dried shrimp
amuqlla,softly
amuqlli,tonsil
amuqlli unquy,tonsilitis
amuqllu,pimple
amuqyay,to become soft
amurayay,to hold in one's mouth
amusiku,crow foot
amuta,thought (of wise)
amutachay,to decide
amutaq,thinker
amutasqa,proverb
amutay,science
amutay,"to ponder; to think (over, about); to meditate"
amutay,to consider
amuta yachay,scientific contents
amutayay,to analyze
amutay yachay,editorial
amuy,to carry between the teeth
amuy,to bite
amuyay,to get dumb
ana,beauty grain
anaku,dress
anakuy,to put a dress on
ana k'aspi,kind of medicinal plant of the jungle
analáy,I hope
anana,ananas
Ananallaw!,Ouch!
Ananaw!,How tiring!
Ananay!,How it is nice!
anaq,hard
anaq,hardness
anaq k'iri,ulcer
anaqyay,to become indifferent
anariwa,watchman
anata,clarinet of wood
anata,carnival
anay,to be hard
anayay,to harden
ancha,well
ancha,very
ancha,cross-eyed
ancha achka,very much
ancha allinmi,very good!
ancha chaniyuq,expensive
anchachuch,perhaps
ancha kaspa,greatest
ancha kuyay,to adore
anchallpa,globe (earth)
anchallpa kamay,geopolitics
anchanchu,goblin
anchap,excessively
anchapuni,to a large extent
ancha qullqipi qhaturiq,expensive
ancharayay,to lie on the side
ancha saqra,very bad
ancha saqralla,worst
ancha sumaq,very beautiful
anchata (unquy),worse (illness)
Anchata agradisiyki!,Thank you very much!
Anchata agradisiykichik!,Thank you very much! [to several people]
anchata tukuy (unquy),to get worse (illness)
anchay,there
anchay,to spread the legs
anchayay,to get worse (health)
anchaynikuq,demonstrable
anchaypi,there
ancha yupa,any quantity
anchayupa,important
anchayupay,importance
Anchiqucha,"community north west of mount Condorcoto (Kunturqutu), in the province of Huarochiri (Department of Lima, Peru); (Span.) Anchicocha; (orig.) Anchicucha; Anchicocha; Anchicuchapi"
anchiy,to sigh
anchu,kind of bean
anchuchiy,to subtract
anchurapa,"plant, leaves used in orange dye "
anchhuchiy,to displace
anchhuy,to retreat
anchhuy,to take away
anchhuykuy,to approach
andas,barrow
anillu,ring
animal,animal
animay,to stimulate
animu,soul (spirit)
anka,eagle
ankacha,early harvest
anka kay,peace
ankallay,to lie down
ankalli,insurgent
ankallikuy,resistance
ankallikuy,to offer resistance
ankallu,precious dress of women in old times
ankallu p'achayuq,woman dressed with precious clothes
ankas,light (not heavy)
Ankash, Anqash
ankat,completely
ankay,here
ankay,to fly
ankaypi,here
ankichiq,radio transmitter
ankilla,electric eel
ankilla p'anqa,kind of medicinal plant of the Ecuadorian jungle
ankis,light (not heavy)
ankiyachiq,radio receiver
anku,elastic
anku,tendon
anku,heel
anku,blood vessel
anku,hardness
anku,squash
anku,liana
anku,root
anku aycha,tough meat
ankumuy,to appear
anku pahu,kind of medicinal plant of the Ecuadorian jungle
ankupay,compassion
ankupayay,to have compassion
Ankuqala,"gold mining and herding settlement in the District of Kuyu Kuyu (Cuyo Cuyo, Province of Sandia, Department of Puno, Peru), located at approximately 1000 meters above the main community Puna Ayllu; (Span.) Ancoccala"
ankus,nervy
anku sach'a,kind of medicinal plant of the rainforest
anku watarisa,cramp
ankuy,to whip
ankuy,to watch
ankuyay,elasticity
ankuyay,to fade
ankhari,messenger spirits of the apus
ankhiy,to gnaw
anqallu,women's clothes
anqara,bowl
anqara,death's head
anqas,blue
anqas,indigo
Anqas Mayu,"river in southern Colombia, northern border of the Inka empire under Wayna Qhapaq; (Span.) Angasmayo"
anqas ñawi,blue-eyed
anqas p'acha,blue dress
anqaylli,echo
anqi,salty
anqil,angel
anqil simi,angel mouth
anquchi,kind of tree
anqusay,to serve chicha (to)
anri,certain
anri,yes
ansaqiy,to become exhausted
ansa waycha,kind of herb
ansyas,vomit
anta,copper-coloured
anta!,what a laziness!
anta,copper
anta,metal
anta,engine
anta,bronze
anta,species of pachyderm of the Amazon
antakasha,needle
antaki,lead
anta kiru,copper tooth
antaku,plant used to dye reddish-yellow
antakuru,train
antakuru kuyuchina,locomotive
antakuru ñan,railway
antakuyu,locomotive
antanka,plant used to dye black or dark brown
antanka,airplane
antankap sapran,lichen used to dye strong yellow
antanka phawachiq,pilot
anta ñiqiq,computer
anta ñiqiq chaski,e-mail
anta pachachiq,mechanical clock
antaqa,reddish
anta qullqi,coins
anta qullqi,alloy of silver and copper
antara,pan flute
antarka,lying on the back
anta sitwa,July
antasitwa killa,July
antawa,car
antawa ñan,highway
antawara,reddish clouds seen in morning and evening
antawaramuy,to cloud over red
Antawaylla,city in the Department of Apurimaq (Peru)
Antawaylla(cha),"town in the Department of Qosqo, province of Qispiqanchi (Peru); (Span.) Andahuaylillas (<copper meadow, name in diminutive form to avoid confusion with Antawaylla in Apurimaq)"
anta wich'i,copper jar
antay,whirlwind
antayari,radio
antayay,metallurgic
antaykira,newborn child
anti,eastern
anti,east
Anti,the Andes
antichaw,Tuesday
antigal,place where are remains of pre-columbian buildings
anti llaqtachakuq,inhabitants of the Andes
anti llaqtayuq,inhabitants of the Andes
antipuka,strong red
anti runa,people from the East
anti runap,Andean
antis,on the contrary
antisuyu,mountain region
Antisuyu,eastern region of the Tawantinsuyu (Inka Empire)
anti unquy,tropical disease
anti wata,Andean calendar
antiwu,old
antuhay,to incite
antuta,arc
anukachiy,to wean
anukay,weaning
anukay,to stop suckling
anukchi,tiny
anukchi,kind of maize with tiny grain
anunas,cherimoya
anuta,insipid
anya,council
anyachiy,to admonisch
anyay,to bark
anyay,to reprimand
aña,sweet
añaka,pleasure
añaka,honey
añakaw,tasting well
Añakaw!,How wunderful
añaki,bacterium
añaku,useless
añalla,honey
añallaw,tasting well
Añallaw!,How wunderful!
añanchay,to thank
añanku,kind of marten
añanku,ant
añanqa,ant
Añañaw!, Añaw!
añapa,dessert made out of white grinded carob dissolved in water
añapira,ant species
añaru,spider
añas,skunk
Añasi,"deity in the tales of Waruchiri, a tutelary wak'a of the Chiqa people"
añasu,concubine
añathuya,farter
añathuya,skunk
añaw,virus
añawaya,kind of spine plant with yellow flowers
añawi,fruit
añay!,Thank you!
añay,thank
añaychay,gratitude
añaychay,to thank
Añaychayki!,Thank you!
añayllu,ant
añaynikuy,praise
añayniy,adornment
añayniy,to praise
añikuy,to accept
añis,mole
añiy,to accept
añu,mashua
añu,year
añuritay,[expression of tenderness]
apa,very thick blanket
apacha,head scarf
apachikuy,sending
apachikuy,to send something
apachimpuy,to go to send something for someone
apachimuy,to send
apachiqta,"an ancient prayer of thanks spoken upon arrival at the top of a mountain, meaning roughly, ""lord surely you must have carried me"""
apachita,"indicator; sign; pile of stones in honor of Pachamama; pile of divers elements left by travelers on the highest passes as offerings; a modern transliteration of apachiqta, apachita now refers to the large stone houses often erected at the peaks of mountains to mark one's passing and honor the spirits"
apachiy,to send something
apaka,old woman
apakamuy,to bring along
apaku,person who takes things away without giving them back
apaku,mythical kidnapper who steals children
apakuy,to carry for oneself
apalli,backstrap of backstrap loom
apamuy,to bring
apanakuy,to get along
apanqara,cancer
apanqura,big spider
apanqura,crayfish
apantin,twins
apapu suwapu,who steals as much as he can
apaq,carrier
apaqa,dam
apaqachiy,to make carry down
apaqamuy,to go to carry down
apaqapuy,to carry something down for someone
apaqay,to carry down
apaqaysiy,to help to carry down
aparayay,to carry on one's back (women)
aparikapuy,to carry away
aparikuy,to carry away
aparina,backstrap loom
apariy,to carry
apariy kancha,means of transport
aparki,thick blanket sewn together out of many cloths
aparquy,to carry fast
apasanka,big spider
apatara,cockroach
apay,to carry
apay,to cost ($)
apaykachana,indication
apaykachay,use
apaykachay,to lead
apaykamuy,to bring
apaykupuy,divorce
