Hanan Runasimi,English,Ima simi,Español,Qusqu,Qosqo,Aymara
Achachallawya!,How terrible!; How horrible!,interj.,¡Qué terrible!; ¡Qué horrible!,,,
achachaq,hot,adj.,caliente,,,
Achachaw!,What a pity!; What a surprise!; For goodness sake!,interj.(1),¡Qué lástima!; ¡Qué sorpresa!; ¡ah...!; ¡Qué será!; qué peligro!,Achacháw!,Achachaw!; Achacháw!,
Achachaw!,What a heat!; it's hot!,interj.(2),¡Qué calor!; ¡qué caliente!,,,
Achachaw!,ouch!,interj.(3),¡Qué dolor!; [ante la sensación de algo punzante]; ¡qué pena!,,,
Achachay!,How cold!; [cold]; burr!,interj.(1),¡Qué frío!; [frío],..Alalaw!; Alaláw!,..Alalaw!; Alaláw!,
Achachay!,How horrifying!; How frightening!,interj.(2),¡Qué horror!; ¡Qué miedo!; ¡Qué espanto!; ¡Qué susto!; ¡Qué horrificante!,,,
achachay,something frightening,s.,algo que da miedo,,,
achachay,to be hot,v.intr.,estar caliente,,,
achachi,old man,s.(aym),anciano,achachi,achachi,achachi; achichi; awki
achachilasa,ancestors,s.(aym),antepasados,,,
achachilla,marvel,s.,maravilla; milagro,achachilla,achachilla,
achachha,spelling-book; alphabet,s.,abecedario; alfabeto,,,achajala; qillqa sara; achajala
achaka,toy,s.,juguete,,,
achákala,spelling-book,s.(neo),abecedario,,,
achakana,kind of cactus,s.(bot),planta de las familias de los cactus; (raiz comestible); una de las variedades de cacto de raíz comestible,,,
Achakaw!,Ouch!; What a pain!; [exclamation of pain],interj.,¡Qué dolor!; Qué desagrado!; [exclamación de dolor],Achakaw!,Achakaw!,
achakawka,opossum,s.(zoo),zarigüeya; muca; marsupial americano,,,
achakay!,How fearful!,interj.,¡qué miedo!,,,
achaki,pretext,s.(l.esp),achaque; pretexto; motivo,,,
achakita churay,call upon a pretext,v.intr.(p.l.esp),invocar un pretexto,,,
achakiy,to say one thing and do something else,v.intr.(l.esp),decir lo uno y hacer lo otro; calumniar,,,
achaku,opossum,s.(zoo),zarigüeya; muca; marsupial americano,,,
achala,ornament,s.,adorno,achala,achala,
achalachiy,to adorn; to decorate,v.tr.,adornar; decorar; hermosear; embellecer; ornamentar,achalachiy,achalachiy,
achalakuy,to adorn,v.intr.,adornarse; ataviarse; embellecerse,achalakuy,achalakuy,
achalasqa,adorned,p.p.p.,adornado; engalanado,achalasqa,achalasqa,
Achalaw!,How pretty!; How beautiful!; [exclamation of joy],interj.,¡Qué bonito!; ¡Qué lindo!; ¡Qué deseable!; ¡Qué rico!; [exclamación de alegría]; ¡qué hermoso!; qué agradable!,Achalaw!,Achalaw!,
achalayki,luxury,s.,lujo; suntuosidad,achalayki,achalayki,
achanqaray,begonia; kind of herbaceous plant; plant used for red dye,s.(bot),begonia; especie de planta herbácea (su raíz cura la terciana); achanccaray; planta usada para teñir de rojo,achanqaray; achankaray,achanqaray; achankaray,
achapay,to tousle,v.tr.,desordenar el cabello,,,
achaqay,to bite,v.tr.,morder,,,achukataña
achari,certainly (in answers); surely (in answers); possibly (in answers),adv.afirm.,seguramente (en la respuesta); posiblemente (en la respuesta); ciertamente; seguramente,,,
achay,heat; sunbeam; ray of sunshine,s.(1),calor; rayo solar,,,
achay,that (emphatic),s.(2),eso (enfático),,,
achay,to be hot,v.impers.,hacer calor,,,
achay,to crack an egg,v.tr.,romper o abrir un huevo; rajar un huevo,,,
achi,certainly; surely,adv.afirm.,seguramente; posiblemente,,,
achichin,witch,s.(mit),bruja,,,
achik,light; clear; clean; light in color; bright,adj.,claro; luminoso; limpio,,,
achik,light; glow,s.,luz; claridad; resplandor,,,
achikachikuq,lamp; lantern,s.,linterna; lámpara,,,
achikay,to ask for,v.tr.,rogar; solicitar,,,jampatiña
achiklla,clean,adj.,limpio,,,
achiksamaytu,ozone,s.(neo),ozono,,,
achiku,naked; peeled,adj.,desnudo; pelado,,,
achikyachiy,to clarify,v.tr.,aclarar; alumbrar,,,
achikyakuy,to shine; to light,v.intr.,alumbrarse,,,
achikyaq,light,s.,luz,,,
achikyay,dawn,s.,amanecer; crepúsculo,achikyay,achikyay,
achikyay,to dawn; to clear up,v.impers.,alborear; amanecer; despejarse la atmósfera; aclararse la oscuridad; despejarse; aclarar,achikyay,achikyay,
achikyay,to shine; to clear up; to get light,v.intr.,lucir; brillar; iluminar; despejarse; aclararse; relucir; resplandecer; alumbrar; aclarar; centellear,achikyay,achikyay; achikway,
achikyay,to brighten; to illuminate; to shine; to light; to give light; to light,v.tr.,iluminar; alumbrar,,,
Achil,prekichwa name of god,s.(mit)(ecu),nombre prekichwa de dios,,,
Achil Tayta,Father Atsil (god),s.(mit)(ecu),Padre Atsil (dios),,,
Achil Yaya,Father Atsil (god),s.(mit)(ecu),Padre Atsil (dios),,,
achi mama,godmother,s.(fam),madrina; madrina de bautizo,,,
achipsa,"thin, dry stalk used as wick",s.,tallo delgado y seco bueno como mecha,,,
achira,"kind of plant with broad leaves and yellow flowers; plant like the potato; plant, seeds used in red dye",s.(bot),"planta de hojas anchas y flores amarillas; planta ornamental de la familia de las cannáceas; su raiz se utiliza en la alimentación; achira (planta cannácea cuyas hojas sirven para envolver tamales y humitas); achira; planta cuya semilla se usa para teñir de rojo; planta ornamental del Perú, de raíz comestible",achira,achira,
achis,so-called sesame; plant similar to quinua,s.(bot),ajonjolí; sésamo (planta parecida a la quinua),,,
achita,a grain or cereal similar to quinua,s.(bot),quihuicha; especie de amaranto,achita,achita,
achi tayta,godfather,s.,padrino; padrino de bautizo,,,
achiusa,sneeze,s.(onom),estornudo,,,
achiusay,to sneeze,v.intr.(onom),estornudar,,,
achiwa,small parasol,s.,parasol pequeño; parasol; toldo; quitasol; sombrilla,achiwa,achiwa,
achiwa-achiwa,kind of shrub whose leaves are used for blue dye,s.(bot),especie de arbusto cuyas hojas se usan para teñir azul,achiwa-achiwa,achiwa-achiwa,
achi wawa,godchild,s.(fam),ahijado; ahijado; ahijada,,,
achiwiti,"kind of tree; plant, red paint or dye made from seeds; lipstick tree",s.(bot),achiote; achote; bija; especie de arbolillo; árbol de la familia de las bináceas posee propiedades tintoreas que se utilizan en la comida; especie de planta (su semilla roja es usada como colorante para comidas y teñidos); achiote; planta cuya semilla se usa para teñir de rojo; achiote - arbusto cuyo fruto es usado como colorante en las comidas. en la medicina popular cura el mal llamado pián (cuchipe),achiwiti,achiwiti,
achiy,to enjoy,v.tr.(1),disfrutar de; gozar de,achiy,achiy,
achiy,to poke; to add wood to the fire,v.tr.(2),atizar; atizar el fuego,,,
achiyá,yes indeed; certainly; surely; very probably,adv.afirm.,sí pues; seguramente; posiblemente; muy probable,,,
achiyari,possibly; doubtlessly,adv.afirm.,posiblemente; no hay duda,,,
achiyay,to sneeze,v.intr.,estornudar,,,
achi yaya,godfather,s.(fam),padrino,,,
achka,a lot; much; many; much,adj.,mucho; mucha; muchos; muchas; harto; bastante; abundante; harto; mucho; varios; demasiado; bastante; mucho; bastante; gran cantidad; cuantioso; numeroso; gran porción; profusamente; tanto,askha; ashkha; achkha; ashkhas,askha; ashkha,walja; alluqa; sinti; sintini; thanqha; walqa
achkachay,to abound; to be abundant,v.intr.,abundar,ashkachay,ashkachay,
achkachay,to increase,v.tr.,aumentar; acrecentar,,,
achkam,most,expr.,lo más,,,
achkanyay hayñikuna,collective rights,s.,derechos colectivos,,,
achka qullqipaq rantisqa ñin,he (she) says he (she) has bought for a lot of money,expr.,dice que ha comprado por mucha plata,,,
achka qullqipi qhaturiq,expensive,adj.,caro,,,
achka qullqi waliq,expensive,adj.,caro,,,
achka runa,crowd,s.,muchedumbre; gentía,askha runa,askha runa,
achkash,lamb,s.(zoo),cordero; corderito,,,
achkata,much; strongly,adv.m.,mucho,,,
achka tiyay,to abound; to be abundant,v.intr.,abundar,,,
achka t'asla,polyhedron,s.(mat),poliedro,,,
achka uya,polyhedron,s.(mat),poliedro,,,
Achkay,witch; mythical old woman eating children,s.(mit),Achicay; bruja; anciana devoradora de niños que personifica el mal; mujer mala y devoradora de niños; mujer mala que no sabe ayudar a los pobres; espíritu antiguo maligno que devora seres humanos,,,
achkayachiq,who makes increases,s.,que hace aumentar,,,
achkayachiy,to increase,v.tr.,acrecentar; aumentar; multiplicar; pluralizar; aumentar en cantidad; reproducir,,,jach'aptayaña
achkayay,to increase,v.intr.,acrecentarse; aumentarse; multiplicarse; crecer; ensancharse; aumentar considerablemente,askhayay,askhayay,
achka yupa,plural,s.(gra),plural (número); plural,askhayupa,askhayupa,walja
achki,light; glow; sun,s.,luz; claridad; resplandor,,,
achkikuq,lamp; lantern,s.,lámpara; linterna,,,
achkina,lantern; lamp; something shining,s.,linterna; candil; algo que alumbra,,,
achkiy,shine; light,s.,brillo; luz,,,
achkiy,to brighten; to illuminate; to shine at; to give light to,v.tr.,alumbrar; iluminar,,,
achku,very fine firewood,s.,leña muy menuda,,,
achkukuy,to grasp something for oneself; to appropriate; to take possession of,v.tr.,agarrar algo para uno mismo; adueñarse,,,
achkuy,to grasp; to grab; to take; to catch; to hunt together without killing,v.tr.(1),agarrar; atrapar; cazar junto sin matar,..chakuy,..chakuy,
achkuy,to scrape; to scratch; to claw,v.tr.(2),raspar; escarbar,,,
achmikuq,hoe,s.,azada (para cultivar),,,
achmiy,to earth up a plant first time,v.tr.,aporcar la primera vez,,,
achpay,to climb,v.mov.,trepar; subir agarrándose,,,
achpaykachay,to climb around,v.mov.,subir cayéndose; jugar trepándose,,,
achqay,to earth up a plant first time,v.tr.,aporcar la primera vez,,,
achu,straw; chips; splinter; small firewood,s.,paja; astilla; leña menuda,,,
achu,armadillo,s.(zoo),armadillo,,,
achucha,"pallay motif in weaving (Bolivia, meaning unclear)",s.(tex),motivo pallay en tejidos (significado no claro),,,
achuchiy,to make someone carry something between the teeth,v.tr.,hacer llevar con la boca,,,
achukay,to run; to flow; to stream,v.tr.,manar (líquido),,,
achuma qhiwillu,a type of cactus,s.,especie de cactus,,,
achuni,South American coati; small reddish four-legged animal whose penis is always erected,s.(zoo),"nasua sudamericana; achuni; achuni - pequeño cuadrúpedo rojizo, con el pene siempre erecto",,,
achuni sananku,kind of medicinal plant of the jungle,s.(bot),achuni-sanango; especie de planta medicinal de la selva,,,
achuni ullu,"penis of achuni, used in popular medicine as aphrodisiac",s.(zoo),"pene de achuni (según la creencia popular, el pene del achuni usado para hacer pusanga y para tomarlo raspado en aguardiente como afrodisíaco)",,,
achupalla,achupaya; kind of ananas-like plant; plant similar to maguey of the upper suni,s.(bot),piña del monte; achupa; achupalla (planta silvestre y espinosa como la piña); planta semejante al magüey de la suni alta; piña; ananás; ananá,achupalla,achupalla,achupaya
achupalla,scales,s.(tec),balanza (de platillos); pesas (del marco),,,waytaña
achuqalla,"pouch (long and narrow, fringed, very decorated)",s.(tex),"bolsa (larga y estrecha, con franjas, adornada)",,,
achuqalla,weasel,s.(zoo),comadreja,achuqalla,achoqalla,
achuqcha,kind of pumpkin; achogcha; kind of plant of the jungle (main use: food),s.(bot),caigua; pepino de comer; variedad de calabaza (cucurbitácea); planta de la familia de las cucurbitáceas de fruto alimenticio; achogcha; especie de planta de la selva (uso principal: alimento); cayhua,achuqcha,achoqcha,
achura,quote; rate; ration; daily rations,s.(mat),cuota; pitanza; provisión diaria; ración; ración de coca,achura,achura,
achuray,to deal out,v.tr.,impartir; repartir; distribuir; repartir,achuray,achuray,jaljaña
achuy,to carry between the teeth,v.tr.(1),llevar entre los dientes; llevar algo con la boca; abocar,,,
achuy,to uproot plants; to look for straw or small firewood,v.tr.(2),arrancar plantas; buscar paja o leña menuda,,,
achwatakuy,to roll over and over (oneself),v.intr.,revolcarse,,,
achhiq ñiy,to sneeze,v.dic.,estornudar; decir achig,,,
achhiy,sneeze,s.,estornudo,achhiy,achhiy,
achhiy,to sneeze,v.intr.,estornudar; decir achig,achhiy,achhiy,
achhumuy,to approach (in the speaker's direction),v.mov.,acercarse (en dirección del hablante),achhumuy,achhumuy,
achhuray,to withdraw; to go away; to depart,v.mov.,alejarse; partir,achhuray; achhuriy,achhuray; achhuriy,
achhuy,to approach,v.mov.,acercarse,achhuy,achhuy,
achhuykuy,to approach,v.mov.,acercarse; aproximarse,achhuykuy,achhuykuy,
achhuyuy,to approach,v.mov.,acercarse; aproximarse,achhuyuy,achhuyuy,
adisir,in any case; at any rate; by all means; at all events; anyway,expr.(esp),ha de ser; de todas maneras,,,
Adiyús,Good bye!,expr.(esp),¡Adiós!,Adiyús,Adiyús,
admirasqa kay,to be amazed,v.intr.(esp),estar sorprendido,admirasqa kay,admirasqa kay,
adrí,deliberately; purposely; on purpose,adv.m.(esp),adrede; con intención; deliberadamente; intencionalmente; de propósito,,,
adubi,a brick baked in the sun,s.(esp),adobe,adubi,adubi,
afanakuy,to torment oneself,v.intr.(esp),afanarse,,,
afaniru,haughty; proud,adj.(esp),orgulloso,,,
afaniswan,concerned,adj.(p.esp),afligido; preocupado; afanado,,,
afilay,to sharpen,v.tr.(esp),afilar,,,
aflihiy,to grieve; to worry,v.tr.(esp),afligir,,,
agradisiy,to thank,v.tr.(esp),agradecer,,,
agustu,August,s.(mes)(esp),agosto,agustu,agosto,
aha,difficult,adj.,difícil,,,
Ahá!,I see!,interj.,¡Ah; ya!; con que así,,,
ahachiy,to infect a wound; to inflame,v.tr.,infectar una herida; hacer infectar; inflamar,,,
Ahahay!,How funny!,interj.,¡Qué cómico!; ¡Qué risa!,Ahahay!; Ahaw!,Ahahay!; Ahaw!,
ahahay,ah ah - to laugh -; to laugh,v.dic.,ah ah - reír -; reír sin control; carcajearse. No es bueno reírse así,,,
ahalla,very fast,adv.m.,muy rápido,,,
ahallay,to hurry,v.intr.,apurarse; apresurarse,,,
ahan,I see; I already know; aha,interj.,"con que así; ya me enteré; [expresión irónica con que se trata de chantajear, pero también se usa en bromas]",,,
ahasqa,infected; inflamed,p.p.,infectado,,,
ahay,to be infected; to be inflamed,v.intr.,infectarse; inflamarse,,,
ahay,to berate; to rebuke; to bother; to molest; to give advices,v.tr.,resondrar; molestar; reprender; aconsejar bien,,,
ahayachiy,to tire; to make difficult,v.tr.,cansar; fastidiar; ponerlo difícil,,,
ahayay,to feel tired of something; to find something difficult,v.intr.,cansarse de algo o alguien; sentir lo difícil,,,
ahi!,"[challenge, joy, verry common among drunkards]",interj.,"¡aaji!; [desafío, alegría, muy común entre los borrachos]",,,
ahina,thus; consequently; like this; like that,adv.m.,así; consiguiente,,,
ahina,example,s.,ejemplo,,,
ahinhu,wormwood,s.(bot)(esp),ajenjo,,,
ahitay,to stop up (stomach),v.intr.,empacharse,,,
ahiy,"to shout ""Aahi!""",v.dic.,"emitir el ""¡aaji!""",,,
ahumpay,to shrink by cold or pain,v.intr.,encogerse de frío o dolor,,,
ahus,garlic,s.(bot)(esp),ajo,,,
ahus chiru,kind of medicinal plant of the jungle,s.(bot)(p.esp),ajos chiro; especie de planta medicinal de la selva,,,
ahus p'anqa,"garlic vine; kind of medicinal plant of the Ecuadorian jungle, a climbing plant with strong garlic smell, its leaves and bark are used as medicine against rheumatism and arthritis",s.(bot)(p.esp),"aju panga; ajus huasca; especie de planta medicinal de la selva ecuatoriana, planta trepadora de olor fuerte de ajo, con sus hojas y corteza se curan el reumatismo y la artritis",,,
ahus qiru; ahus k'aspi,"laurel; clammy cherry; kind of medicinal plant, main uses: shaman medicine for protection and strength",s.(bot)(p.esp),"laurel blanco; pardillo; especie de planta medicinal, usos principales: medicina de chamanes para protección y fuerza",,,
ahus sach'a,garlic tree; kind of jungle tree whose leaves and bark are used as medicine against rheumatism and arthritis; garlic of the jungle,s.(bot)(p.esp),"ajo sacha; vid de ajo; árbol de ajo; especie de árbol de la selva con cuyas hojas y corteza se curan el reumatismo y la artritis; especie de arbusto regional cuyas hojas y corteza tienen un marcadisimo olor a ajo. Es empleada en condimentos. Gran calmante de dolores y en emplastos, remedio contra enfermedades renales",,,
ahus waska,"garlic vine; kind of medicinal plant of the Ecuadorian jungle, a climbing plant with strong garlic smell, its leaves and bark are used as medicine against rheumatism and arthritis",s.(bot)(p.esp),"ajus huasca; especie de planta medicinal de la selva ecuatoriana, planta trepadora de olor fuerte de ajo, con sus hojas y corteza se curan el reumatismo y la artritis",,,
ahuy,to mix; to combine,v.tr.,mezclar; combinar,,,
ahwilay,to sharpen,v.tr.(esp),afilar,,,
aka,excrements; droppings; shit; faeces; feces,s.,excremento; excrementos; guano; estiércol; caga; mierda; caca; pasta fecal; escoria; heces; ñoña,aka,aka,jama
akachakuy,to be hot (heat),v.intr.,hacer calor,,,
akachaq,hot; warm,adj.,caliente; caluroso,,,
akacháw,ouch!,interj.,¡Qué dolor!; [ante la sensación de algo punzante]; ¡qué pena!,,,
akachay,heat; warmth,s.,calor,,,
akachay,to burn,v.tr.,quemar; arder,,,
aka hina sinqayuq,shit-nosed,s.p.(k),nariz de caca,aka hina sinqayuq,aka hina senqayoq,
Akakalláw!,"What a pity!; What a pain!; Oh, poor boy!",interj.,¡Qué lástima!; ¡Qué pena!; ¡Pobrecito!,Akakalláw!,Akakalláw!,
Akakaw!,Ouch!; How hot!,interj.(1),¡Qué dolor!; ¡Qué caliente!; [ante la sensación de algo punzante],akakáw!,akakáw!,
akakaw!,[women's uncontrolled laughter],interj.(2),[risa femenina descontrolada],,,
akakllu,woodpecker; Andean flicker (bird),s.(zoo),pájaro carpintero; una especie de perdiz; acaca; cargacha; Pájaro de la puna que ante la presencia de extraños hace mucha bulla. A las mujeres chifladas (que se ríen con cualquiera) se las compara con la acaca; pájaro carpintero andino; pito,hak'akllu; akakllu; hak'achu,hak'akllu; akakllu; hak'achu,
akakuy,to shit in,v.intr.,zurrarse,,,
aka k'ichki,constipation,s.(med),estreñimiento; constipación; disquinesia,aka k'iski,aka k'iski,
aka k'uchu,excrement corner; a shallow latrine behind houses,s.,rincón para cagar; letrina tras la casa,aka k'uchu,aka k'uchu,
akanawasi,toilet; lavatory,s.,letrina; baño,,,
akanayaq runa,grumblehuts; grouch; grumpy,expr.(k),hombre gruñón; renegón,akanayaq runa,akanayaq runa,
akankaw,black caracara; kind of vulture falcon; kind of bird,s.(zoo)(amz),acangau; caracara negra; especie de halcón; especie de ave,,,
akapa,tiny; small,adj.,menudo; pequeño,,,
akapakuy,to get mouldy,v.intr.,enmohecerse,,,
akapana,hurricane,s.(1),huracán,,,
akapana,clouds; colouring of the sky at dawn or dusk,s.(2),celaje; coloración del cielo en el alba o en el ocaso; colorete,,,
akaraqay,corral,s.,corral; majada; corral del ganado,,,
akarqana,peritoneum,s.(ana),peritoneo,,,llikawira
aka siki,shitter; bastard,s.,culo de mierda; cagador,,,
akasu,possibly; you mean to tell me,conj.(esp),acaso,,,
akatanqa,dung-beetle; black beetle; dung beetle; (lit.) pupe-pusher,s.(zoo),escarabajo (de estiércol); escarabajo (lit. que empuja excremento),akatanqa,akatanqa,jama tanqa
akatay,to inquire at; to turn to; to go without invitation,v.mov.,acudir por algo; recurrir; ir sin ser invitado; ir corriendo,,,
akatuwawa,kind of medicinal plant of the jungle,s.(bot)(amz),acatuaua; especie de planta medicinal de la selva,,,
aka wara,nappy; napkin; diaper; bunch,s.,pañal; pañales; pañal interior,aka wara; akaswara,aka wara; akaswara,
akay,excretion,s.,deposición; deyección,,,
akay,to excrete; to shit; to defecate,v.tr.,defecar; cagar; evacuar las materias fecales; evacuar; expeler,akay,akay,jamaña
akayta mikuy supiyta pitay,eat my shit and smoke my fart!,expr.(k),¡come mi caca y fuma mi pedo!,akayta mikuy supiyta pitay,akayta mikuy supiyta pitay,
aki,god mother (referring to a man),s.,suegra con relación a su yerno,,,
akila,fast; quick,adj.,rápido,,,
akilla,metal beaker; bowl; vase; high quality wide-mouthed vase,s.,vaso de metal; vaso de oro o plata; vaso de oro o de plata para actos rituales; vaso de cristal u otro material similar para copear licores; tazón,akilla,akilla,
aklla,virgin selected for religious service in Inka times; virgin of the sun,s.(his),joven escogida de la casa real; virgen para servicio religioso; virgen del sol; escogida,aklla,aklla,
akllachiy,to make choose,v.tr.,hacer escoger,,,
akllakuy,to choose; to prefer,v.tr.,elegir,akllakuy,akllakuy,
akllamuy,to go to choose,v.tr.,ir a escoger,,,
akllanakuy,elections,s.(neo),elecciones,,,
akllapayay,to choose repeatedly,v.tr.,escoger repetidamente; volver a seleccionar,,,
akllapuy,to choose for someone,v.tr.,escogérselo,,,
akllasqa,selected,p.p.p.,elegido; escogido; selecto; seleccionado; escogida,akllasqa,akllasqa,ajllita; laqita
akllasqa chani,statistic value,s.(mat),muestra estadística,,,
aklla wasi,virgins' convent,s.(his),convento de mujeres vírgenes; gineceo incaico; casa de las escogidas; casa de las vírgenes del sol,,,
akllay,election; choice; lottery,s.,"elección, lotería",,,
akllay,to select; to elect; to choose; to classify,v.tr.,elegir; seleccionar; escoger; clasificar; separar,akllay,akllay,ajlliña; laqiña
akllay papa,selected potato; floury potato,s.,papa harinosa; papa selecta,,,
akllaypaq,elegible,adj.,elegible,,,
akllu,stutterer; stammerer,adj.,tartamudo; gago,akllu,akllu,
akllu,deaf-mute,adj.,sordomudo,,,
aklluy,to stammer,v.dic.,tartamudear,,,
aklluy,to deafen,v.tr.,enmudecer,,,
akna,action; execution; effect,s.,acción; ejecución; efecto,,,
aknachay,to effect; to execute,v.tr.,efectuar; ejecutar,,,
aknu,ceremonial dress; place where ceremonies take place,s.(tex),vestido ceremonial; lugar donde se realizan ceremonias,aknu,aknu,
aknupu ñañaka,precious women's dress,s.(tex),mantellina de mujer pintada,aknupu ñañaka,aknupu ñañaka,
akñichiy,to make a child burp after nursing,v.tr.,hacer eructar a un niño,,,
akñiy,to burp; to burp; to belch,v.dic.,"eructar; decir ""ac""",,,
aksay,bad; cruel; envious,adj.,malo; cruel; envidioso,,,
aksu,"skirt; dress; smock; cape; cloak; woven cloth worn on back by Indian women; overskirt; skirt woven in two equal pieces; women's black wrap skirt or overdress; square piece worn by women, fastened at waist, which serves as a petticoat",s.(tex),bata; vestido; mantón; capa; prenda de vestir de la mujer; saya; acsu (saya de las mujeres indígenas); falda; vestidura talar,aksu; aqsu,aksu; aqsu,
aksullichiy,to dress someone,v.tr.,vestir (a alguien); hacer vestir,aksullichiy,aksullichiy,
aksullikuy,to dress oneself,v.tr.,vestirse la saya; vestirse,aksullikuy; aqsullikuy,aksullikuy; aqsullikuy,
akshu,potato,s.(bot),papa; patata,..papa,..papa,ch'uqi
aktiy,to extract,v.tr.,extraer,,,
akukutinchiq,multiple of gram,s.(mat),múltiplo del gramo,,,
akulli,portion of coca to chew,s.,porción de coca que se mastica; tiempo en el que se mastica la coca,,,
akulliy,to chew coca,v.intr.,masticar coca; masticar,akulliy,akulliy,
akulliy hura,about 10:00 am; time of break from morning's work to chew coca,s.,aproximadamente las diez de la mañana; tiempo de pausa del trabajo en la mañana para masticar coca,,,
akumpañay,to accompany,v.tr.(esp),acompañar,,,
akuna,private,adj.(neo),privado,,,
akupana,sunset,s.,puesta del sol,akupana,akupana,
akurma,"horsetail (medical plant with thin, green, hard stalks used for healing internal and external inflammations)",s.(bot),"cola de caballo (planta medicinal de tallos delgados, verdes y duros que cura las inflamaciones internas y externas)",,,
akuy,to grow coca,v.intr.,cultivar coca; masticar coca,,,
akuy,to put something in the mouth; to chew; to chew coca,v.tr.,poner algo en la boca; comer pito de cualquier cereal; masticar; masticar coca; comer harina el maíz tostado y pulverizado,,,
akwa,needle,s.(l.esp),aguja,akwa,akwa,
akwa-akwa,red-stemmed filaree; kind of annual endemic plant of the high mountain region,s.(bot),alfilerillo; especie de geraniácea anual endémica de la alta puna,akwa-akwa,akwa-akwa,
akwa hiringa,syringe; injection needle,v.tr.(med)(esp),jeringa; aguja de jeringa,,,
akyay,interest,s.(neo),interés,,,
ala,wing,s.(esp),ala de pájaro,ala,,chhiqha
Alabadu,Alabado (christian chant sung when the corpse is taken out of the house),s.(esp),Alabado (cántico religioso introducido por los doctrineros. Se entona al sacar el cadáver de la casa),,,
alabaduq,prayer (person); singer of the Alabado,s.a.(esp),rezante; cantante del Alabado,,,
alabaduy,to sing the Alabado,v.tr.(esp),entonar el Alabado,,,
alabakuq,boastful; boasting; bragging,adj.(esp),alabancioso,,,yupaychasiri
alabay,to praise,v.tr.,alabar,,,
ala khuyay khuyaylla,unlucky fellow,s.(ant),pobrecito; desdichado,ala khuyay khuyaylla,ala khuyay khuyaylla,
alalachiy,to cool down; to refresh,v.tr.,enfriar; refrescar,,,
alalaq,cold,adj.,frío; helado; frigido; friolento; que siente frío; que hace frío,..chiri; chhiri,..chiri; chhiri,
alalaqrusqa,cooled,p.p.p.,enfriado; resfriado,,,
alalasqa,cold; cooled; refreshed,p.p.,frío; enfriado; refrescado,,,
Alalaw!,How cold!; It's cold!; Brrr!,interj.(1),¡Qué frío!; [exclamación del que siente frío],Alalaw!; Alaláw!,Alalaw!; Alaláw!,alala
Alalaw!,What a heat!; It's hot!,interj.(2),¡Qué calor!,,,
alalay,sorrow,s.,pena,,,
alalay,cold (illness),s.(med),resfrío; catarro,,,
alalay,to be cold; to freeze,v.impers.,hacer frío; estar frío; tener frío; helar; hacer frio; sentir frío; tener frío; hacer frío,..chiriy,..chiriy,thayaña
alalay,to cool,v.tr.,enfriar,,,
Alama,"Quechua-speaking ethnic group in the region of the rivers Pastaza and Tigre (department of Loreto/Peru, and neighbouring Ecuador); (Span.) Quechuas del Pastaza y Tigre",s.(tri),Quechuas del Pastaza y Tigre; grupo étnico quechuahablante en la región de los ríos Pastaza y Tigre (departamento de Loreto/Perú y Ecuador adyacente),,,
